iter	MultiClass
0	1.169300408
1	1.018399917
2	0.9047968752
3	0.8108346729
4	0.736813076
5	0.6732482904
6	0.6222615256
7	0.5759648945
8	0.5373944294
9	0.5038007866
10	0.472407095
11	0.4466864418
12	0.4237054973
13	0.4033832369
14	0.3858435603
15	0.3701300724
16	0.355184684
17	0.3424218155
18	0.330573928
19	0.3198777929
20	0.3105967448
21	0.3021270643
22	0.2946372812
23	0.2882651155
24	0.281663314
25	0.2759919312
26	0.2709918413
27	0.2657777606
28	0.2613694019
29	0.2578383855
30	0.2535684353
31	0.2496618614
32	0.2464993751
33	0.2431090159
34	0.238502631
35	0.2352340778
36	0.2327765227
37	0.2300410393
38	0.2277744065
39	0.2258880028
40	0.2243176739
41	0.2219792485
42	0.2198857499
43	0.2181418182
44	0.2166880111
45	0.2132895561
46	0.2121061471
47	0.2090998763
48	0.2079139736
49	0.2067261348
50	0.2055683627
51	0.2034517638
52	0.2019674878
53	0.2007461699
54	0.1995823264
55	0.1982776296
56	0.1974315833
57	0.1965114635
58	0.1957573804
59	0.1948366569
60	0.1938966385
61	0.1931266805
62	0.1926010713
63	0.1915951001
64	0.1910152632
65	0.1900655327
66	0.1894276028
67	0.1887248414
68	0.1881813178
69	0.1876110122
70	0.1871296445
71	0.186505186
72	0.1859330567
73	0.1854642326
74	0.1847418593
75	0.1842672192
76	0.1837372654
77	0.1830846553
78	0.1826191867
79	0.1820272697
80	0.1813064873
81	0.1807024334
82	0.1800776252
83	0.1795238114
84	0.1791812082
85	0.1785918208
86	0.1778666137
87	0.1774221729
88	0.1769050873
89	0.1766193331
90	0.1760474593
91	0.1756432283
92	0.1751012999
93	0.174611798
94	0.1743971663
95	0.174102938
96	0.1737099632
97	0.1734414896
98	0.1730645968
99	0.1728280457
100	0.1726115586
101	0.1723753719
102	0.1720848363
103	0.1717396635
104	0.171479664
105	0.171136585
106	0.1707433356
107	0.1702507981
108	0.169840639
109	0.1694205445
110	0.1692774298
111	0.168937741
112	0.168364484
113	0.1681185876
114	0.167675635
115	0.1674683785
116	0.1671401162
117	0.1668337416
118	0.1666303644
119	0.1662459359
120	0.1660961756
121	0.1658463088
122	0.1654495852
123	0.165179206
124	0.1650368267
125	0.1646937104
126	0.1645227917
127	0.1641942905
128	0.1639807888
129	0.1637826115
130	0.1636876235
131	0.16343469
132	0.1633200647
133	0.1631165459
134	0.1629382643
135	0.1627394973
136	0.16262972
137	0.1622974791
138	0.1621392191
139	0.1617716257
140	0.1615498655
141	0.1614164419
142	0.1612202438
143	0.1610139855
144	0.1607583885
145	0.1606356767
146	0.1603460085
147	0.1600735903
148	0.1598635916
149	0.1595904134
